plot,treatment,calluna_vulgaris,erica_cinerea,erica_tetralix,vaccinium_myrtilus,vaccinium_vitis-idaea,empetrum_nigrum,grass,forb,pinus_sylvestris,betula_spp,sorbus_aucuparia,salix_spp,conifer_canopy,broadleaf_canopy,tree_regeneration,ground_layer,canopy_layer_cover,sub_canopy_layer_cover,tall_understorey_cover,low_shrub_cover,ground_layer_cover,canopy_layer_score,sub_canopy_layer_score,tall_understorey_score,low_shrub_score,ground_layer_score,complexity_score,ground_layer_height_1,ground_layer_height_2,ground_layer_height_3,ground_layer_height_4,ground_layer_height_5,ground_layer_height_6
1,woodland,30,0,0,75,40,5,0,0,65,0,0,0,65,0,0,85,75,0,0,0,85,4,0,0,0,4,8,12,18,42,53,38,22
2,woodland,50,0,0,30,60,0,25,0,50,0,5,0,50,0,5,80,50,0,0,0,80,3,0,0,0,4,7,44,46,53,60,20,11
3,woodland,90,0,0,5,25,5,5,0,40,0,5,0,40,0,5,90,40,0,0,0,95,3,0,0,0,4,7,65,50,43,53,67,69
4,woodland,90,0,5,10,30,5,5,0,35,0,0,0,35,0,5,90,35,0,0,0,95,3,0,0,0,4,7,23,57,63,71,62,55
5,woodland,60,0,5,20,30,0,30,0,30,0,0,0,30,0,5,70,30,0,0,0,70,3,0,0,0,4,7,24,26,49,26,33,46
6,woodland,90,0,5,10,25,10,5,0,30,5,5,0,25,0,5,90,30,0,0,0,90,3,0,0,0,4,7,34,35,55,29,16,72
7,regeneration,70,10,5,0,5,0,25,5,55,5,0,0,0,0,60,75,0,0,15,40,5,0,0,2,3,1,6,29,62,33,33,45,41
8,regeneration,75,10,5,0,5,0,20,10,20,0,0,0,0,0,20,75,0,0,5,15,5,0,0,1,2,1,4,43,50,65,50,51,40
9,regeneration,70,10,5,0,0,0,30,5,30,0,0,0,0,0,35,75,0,0,10,20,5,0,0,1,2,1,4,55,60,38,51,36,42
10,regeneration,90,10,10,0,0,0,5,5,45,0,0,0,0,0,45,95,0,0,20,25,95,0,0,2,3,4,9,42,28,37,40,23,39
11,regeneration,70,15,5,0,5,0,30,10,40,0,0,0,0,0,40,75,0,0,25,15,80,0,0,3,2,4,9,39,29,23,36,36,42
12,regeneration,35,5,5,0,0,0,75,10,60,0,0,0,0,0,60,35,0,0,55,5,40,0,0,4,1,3,8,37,48,42,22,34,39
13,woodland,70,0,5,5,5,0,35,0,70,10,0,0,10,5,60,80,15,5,20,40,80,2,1,2,3,4,12,47,76,69,51,56,37
14,woodland,50,5,10,5,5,0,60,5,75,5,5,0,60,0,20,50,60,0,5,15,60,4,0,1,2,4,11,85,73,50,69,9,30
15,woodland,50,0,10,0,15,5,50,5,40,10,0,5,25,0,40,50,25,0,10,30,5,3,0,1,3,1,8,40,28,44,44,49,43
16,woodland,50,0,0,10,10,0,70,5,40,15,5,0,40,10,10,50,40,0,5,10,50,3,0,1,1,3,8,20,57,84,77,71,88
17,woodland,80,0,0,10,5,0,15,5,60,15,5,0,40,0,55,80,40,10,25,25,80,3,1,3,3,4,14,76,45,52,39,35,73
18,woodland,30,0,0,5,5,0,85,5,50,50,5,5,50,0,75,30,20,0,25,50,30,2,0,3,3,3,11,56,82,91,71,78,77
19,regeneration,95,0,0,5,5,0,5,0,5,5,0,0,0,0,10,95,0,0,5,5,95,0,0,1,1,4,6,65,53,38,71,46,43
20,regeneration,95,0,0,5,5,0,5,5,40,40,0,0,0,0,75,95,0,0,60,15,95,0,0,4,2,4,10,61,9,46,62,71,46
21,regeneration,90,0,0,5,15,0,10,5,5,15,0,0,0,0,20,90,0,0,15,5,90,0,0,2,1,4,7,46,41,65,45,44,30
22,regeneration,75,0,0,5,5,0,40,5,5,20,5,5,0,0,30,75,0,0,25,5,75,0,0,3,1,4,8,36,59,93,41,58,38
23,regeneration,95,0,0,5,5,0,5,5,30,10,0,0,0,0,40,95,0,0,25,15,95,0,0,3,2,4,9,34,42,43,49,31,31
24,regeneration,70,5,15,0,0,0,30,5,30,10,0,0,0,0,40,75,0,0,35,5,75,0,0,3,1,4,8,36,35,40,55,77,43
25,woodland,50,0,5,40,65,0,15,5,0,60,5,5,0,60,5,85,60,0,0,5,85,4,0,0,1,4,9,17,25,32,22,61,76
26,woodland,70,0,0,50,15,0,5,5,70,5,5,0,70,0,5,95,70,0,0,0,95,4,0,0,0,4,8,69,47,16,34,29,42
27,woodland,25,0,5,85,15,0,5,5,80,5,5,0,80,0,5,95,80,0,0,0,95,4,0,0,0,4,8,46,47,60,36,33,49
28,woodland,20,0,0,70,75,0,5,5,5,40,5,0,40,40,5,95,40,0,0,5,95,3,0,0,1,4,8,32,59,30,22,67,65
29,woodland,40,0,0,75,15,0,5,0,45,10,5,0,50,10,5,95,55,0,0,5,95,4,0,0,1,4,9,58,59,43,41,46,74
30,woodland,55,0,0,55,25,5,5,5,50,5,5,0,50,0,5,95,50,0,0,0,95,3,0,0,0,4,7,31,43,51,55,72,32
31,regeneration,95,0,0,5,5,0,5,5,15,0,0,0,0,0,15,95,0,0,5,10,95,0,0,1,1,4,6,22,22,37,26,24,10
32,regeneration,95,5,0,5,5,0,0,0,20,0,0,0,0,0,20,95,0,0,0,20,95,0,0,0,2,4,6,16,17,18,23,32,20
33,regeneration,90,10,0,0,0,0,0,5,50,0,0,0,0,0,50,90,0,0,0,50,90,0,0,0,3,4,7,20,22,18,16,19,11
34,regeneration,95,5,0,5,0,0,0,0,25,0,0,0,0,0,25,95,0,0,5,20,95,0,0,1,2,4,7,24,29,33,23,28,25
35,regeneration,70,5,15,5,0,0,40,15,25,0,0,0,0,0,25,75,0,0,20,5,75,0,0,2,1,4,7,32,28,24,36,34,27
36,regeneration,95,5,0,0,0,0,0,0,30,0,0,0,0,0,30,95,0,0,0,30,95,0,0,0,3,4,7,13,42,13,28,19,24
37,moorland,60,0,15,0,0,0,45,5,0,0,0,5,0,0,0,0,0,0,0,0,65,0,0,0,0,4,4,42,34,41,55,40,29
38,moorland,70,0,10,0,5,0,50,5,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,4,4,18,32,35,37,32,39
39,moorland,50,0,20,0,0,0,50,5,0,0,0,5,0,0,0,0,0,0,0,0,60,0,0,0,0,4,4,10,14,29,17,21,33
40,moorland,75,0,5,30,20,5,25,5,0,0,5,0,0,0,0,85,0,0,0,0,85,0,0,0,0,4,4,24,33,15,24,7,26
41,moorland,80,0,0,25,10,5,15,5,0,0,0,0,0,0,0,80,0,0,0,0,80,0,0,0,0,4,4,39,23,37,33,24,24
42,moorland,80,0,10,5,10,5,40,20,0,0,5,10,0,0,0,80,0,0,0,0,80,0,0,0,0,4,4,31,35,21,36,43,45
43,moorland,60,0,0,15,25,0,30,10,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,0,0,4,4,25,33,36,23,26,31
44,moorland,75,0,5,10,5,0,20,5,0,0,0,0,0,0,0,80,0,0,0,0,80,0,0,0,0,4,4,23,42,36,51,19,37
45,moorland,80,0,5,20,10,0,40,5,0,0,0,0,0,0,0,85,0,0,0,0,85,0,0,0,0,4,4,44,28,43,30,38,34
46,moorland,90,10,5,5,10,0,5,5,0,0,0,0,0,0,0,95,0,0,0,0,95,0,0,0,0,4,4,13,16,27,27,35,32
47,moorland,90,15,5,5,10,0,10,5,0,0,0,0,0,0,0,95,0,0,0,0,95,0,0,0,0,4,4,48,37,24,42,28,55
48,moorland,90,0,0,10,5,0,10,5,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,4,4,44,33,42,36,35,50
49,moorland,90,15,5,10,20,0,5,5,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,4,4,31,38,36,26,25,37
50,moorland,50,40,0,5,5,0,20,50,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,3,3,14,20,17,12,7,25
51,moorland,90,5,0,5,10,0,5,5,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,4,4,26,34,36,23,28,21
52,moorland,75,0,0,10,20,0,25,10,0,0,0,0,0,0,0,75,0,0,0,0,75,0,0,0,0,4,4,46,32,42,29,29,43
53,moorland,60,30,0,5,5,30,15,0,0,0,0,0,0,0,0,75,0,0,0,0,75,0,0,0,0,4,4,13,14,21,26,21,15
54,moorland,90,0,5,5,5,0,10,5,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,4,4,33,31,33,28,36,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                ,,,,,,,
