Mar Lodge Spreadsheet,abh_number,b&f_number,wiemers_checklist_number,k&r_number,scientific_name ,common_name ,family,england ,scotland ,wales ,northern_ireland,republic_of_ireland,reintroduced,immigrant ,resident,extinct_gb ,extinct_i,red_list_gb ,red_list_ireland,gb_10_km_squares_(2000-2016),ireland_10_km_squares_(2000-2016),rarirty_gb,long_term_distribution_trend_gb,sig_long_term_distribution_trend_gb,range_long_term_distribution_trend_gb,short_term_distribution_trend_gb,sig_short_term_distribution_trend_gb,range_short_term_distribution_trend_gb,abundance_trend_gb,sig_abundance_trend_gb,range_abundance_trend_gb ,diurnal ,nocturnal ,easily_disturbed_by_day,communal_or_nest,below_ground,leaf_litter_moss_on_ground_soil_surface,hostplant_external,hostplant_internal_stem,hostplant_internal_root,other_vegetation_external,stone_inc_walls,dead_rotten_wood ,wingless_reduced_wing_female,forewing_minimum,forewing_maximum,estimated_dry_mass,obligate_univoltine,obligate_multivoltine,partial_generation,phenology_shift,sig_phenology_shift,egg_jan,egg_feb,egg_mar,egg_apr,egg_may,egg_jun,egg_jul,egg_aug,egg_sep,egg_oct,egg_nov,egg_dec,lar_jan,lar_feb,lar_mar,lar_apr,lar_may,lar_jun,lar_july,lar_aug,lar_sep,lar_oct,lar_nov,lar_dec,lar_multiple,pup_jan,pup_feb,pup_mar,pup_apr,pup_may,pup_jun,pup_jul,pup_aug,pup_sep,pup_oct,pup_nov,pup_dec,pup_multiple,ad_jan,ad_feb,ad_mar,ad_apr,ad_may,ad_jun,ad_jul,ad_agu,ad_sep,ad_oct,ad_nov,ad_dec,egg,larva,pupa,adult,specificity ,number_hostplants,hostplant_or_hostplant_category,hostplant_or_hostplant_category_scientific,hostplant_native_or_non-native,light_value,moisture_value,reaction,nitrogen,salt_tolerance,sedges,rushes,grasses ,forbs,ferns,broadleaf_trees,coniferous_trees,shrubs_dwarf_shrubs,mosses,lichens_algae,fungi,slime_moulds,detritus,aquatic_plants,dead_withered_leaves,live_dead_invertebrates_meat,galls,stored_goods,other,roots,stem_shoot,trunk_branches,seeds_berries_fruits,flowers_flower_buds_catkins,leaves_leaf_buds_fronds_external,leaves_internal_mines,other,willow Salix spp,birches Betula spp,Blackthorn (Prunus spinosa),oaks Quercus spp,Hawthorn Crataegus monogyna,docks Rumex spp,Hazel Corylus avellana,Heather Calluna vulgaris,grasses ,Bramble Rubus fruticosus,Bilberry Vaccinium myrtillus,Alder Alnus glutinosa,Pedunculate Oak Quercus robur,Aspen Populus tremula,elms Ulmus spp.,dandelions Taraxacum spp., Downy Birch Betula pubescens,hawthorns Crataegus spp.,Beech Fagus sylvatica,Honeysuckle Lonicera periclymenum,1. Woodland,1a_broadleaved_woodland,1b_coniferious_woodland,1c_scrub_and_hedgerows,1d_wet_woodland_alder_willow_carr,2_heathland,3_moorland,moorland_specialist,4_grassland,4a_calcareou_grassland,4b_wet_grassland,4c_acid_grassland,5_wetlands,5a_bog_mosses_mires,5b_fens_and_marshes,5c_reedbeds,6a_sand_dunes,6b_saltmarsh,6c_rocky_coast,6d_coastal_shingle,7_montane_upland,8_other,conifer_specialist,broadleaf_specialist,grass_specialist,dward_shrub_specialist
1,3.003,18,,69,Korscheltellus fusconebulosa,Map-winged Swift,Hepialidae,1,1,1,1,1,,,1,,,LC,LC,1346,413,,0.05,N,1970 - 2016,-0.04,N,2000 - 2016,0.3,N,1970 - 2016,,1,,,1,,,,,,,,,14,26,62.8,1,,,-4,Y,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,,,,,,,,,,1,1,1,1,,,,,,1,,,Polyphagous,2,,,1,,,,,,,,1,3,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,1,,1,,,1,,,,,,,,,3,,,,,
1,65.013,1657,,7490,Ochropacha duplaris,Common Lutestring,Drepanidae,1,1,1,1,1,,,1,,,LC,LC,1361,170,,0.12,N,1970 - 2016,-0.148,N,2000 - 2016,0.242,N,1970 - 2016,,1,,,,1,1,,,,,,,14,18,31.7,1,,,-6.1,Y,,,,,,,1,1,,,,,,,,,,,1,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,,,,,,1,1,1,1,,,,,,,1,,Oligophagous (Genus),1,birches Betula spp.,Betula spp.,1,7,6,4,4,0,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,3,,,1,,
1,66.002,1632,,6731,Trichiura crataegi,Pale Eggar,Lasiocampidae,1,1,1,1,1,,,1,,,VU,LC,601,8,,-0.57,Y,1970 - 2016,0.089,N,2000 - 2016,-0.886,Y,1970 - 2016,,1,,,,1,,,,,,,,14,17,28.8,1,,,-3.1,Y,1,1,1,,,,,,,1,1,1,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,1,,,,Polyphagous,3,, ,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,1,,,1,1,,1,,,1,,,,,,,,,,,,,,3,,,1,,
1,66.007,1637,,6752,Lasiocampa quercus,Oak Eggar / Northern Eggar,Lasiocampidae,1,1,1,1,1,,,1,,,LC,LC,1480,224,,-0.14,N,1970 - 2016,-0.216,N,2000 - 2016,0.573,N,1970 - 2016,1,1,,,,1,,,,,,,,25,40,276.8,1,,,0.4,N,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,1,1,1,,,,,,1,1,,Polyphagous,20,, ,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,1,1,,1,1,1,,,,,,1,,1,1,1,1,1,,1,1,,1,1,,,1,,1,,1,,1,,3,,,,,
1,70.016,1713,,8184,Idaea aversata,Riband Wave,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2060,421,,0.1,Y,1970 - 2016,0.038,N,2000 - 2016,0.082,N,1970 - 2016,,1,1,,,1,,,,,,,,14,16,9.7,1,,1,,,,,,,,,,1,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,1,,,Polyphagous,9,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,1,1,1,,,1,,,1,1,,,,,,,,,,,3,,,,,
1,70.026,1694,,8067,Scopula ternata,Smoky Wave,Geometridae,1,1,1,1,,,,1,,,LC,VU,374,0,,-0.45,Y,1970 - 2016,-0.255,N,2000 - 2016,0.779,N,1970 - 2016,,1,1,,1,1,,,,,,,,12,15,7.4,1,,,-4.1,Y,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,1,,,Oligophagous (Family),3,, ,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,
1,70.041,1734,,8061,Scotopteryx luridata,July Belle,Geometridae,1,1,1,1,1,,,1,,,LC,LC,523,58,,-0.66,Y,1970 - 2016,-0.652,Y,2000 - 2016,-0.34,N,1970 - 2016,,1,1,,,1,,,,,,,,15,19,13.4,1,,,0,N,,,,,,,,1,,,,,1,1,1,1,1,,,,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,1,,,,,,1,,,Oligophagous (Family),3,, ,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,3,,,,,
1,70.053,1722,,8249,Xanthorhoe designata,Flame Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1989,447,,0.87,Y,1970 - 2016,0.185,N,2000 - 2016,0.523,N,1970 - 2016,,1,1,,,,,,,,,,,11,14,6.1,1,1,,,,,,,,,1,,1,,,,,,,,,,1,1,1,1,,,,,1,1,1,1,1,,1,,,1,1,1,,,,,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,1,,,,,,,,,3,,,,,
1,70.054,1727,,8255,Xanthorhoe montanata,Silver-ground Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2389,452,,0.05,N,1970 - 2016,0.009,N,2000 - 2016,-0.393,Y,1970 - 2016,,1,,,1,,,,,,,,,14,17,10.6,1,,,-9.1,Y,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,Polyphagous,6,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,1,,1,,1,,,,,,3,,,,,
1,70.059,1742,,8289,Camptogramma bilineata,Yellow Shell,Geometridae,1,1,1,1,1,,,1,,,LC,NT,1947,189,,0.08,N,1970 - 2016,-0.073,N,2000 - 2016,0.108,N,1970 - 2016,,1,1,,1,1,,,,,,,,13,16,8.9,1,,,-1.4,N,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,1,1,,,,,1,,,Polyphagous,15,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,1,,,,,1,1,1,1,,,,,1,,,,1,,1,,1,,1,,3,,,,,
1,70.061,1738,,8275,Epirrhoe alternata,Common Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2288,553,,0.28,Y,1970 - 2016,-0.036,N,2000 - 2016,0.288,N,1970 - 2016,,1,1,,,1,,,,,,,,13,14,7.4,1,1,,,,,,,,,1,,,1,,,,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,1,,1,1,1,,,,,,1,1,1,1,1,,,,,,1,,Polyphagous,4,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,1,,,1,1,,1,,,,,,3,,,,,
1,70.072,1744,,8302,Entephria caesiata,Grey Mountain Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,NT,313,23,,-0.81,Y,1970 - 2016,-0.132,N,2000 - 2016,0.037,N,1970 - 2016,,1,1,,,1,1,,,,,,,16,19,14.4,1,,,-4.7,Y,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,1,,,Oligophagous (Family),6,, ,1,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,
1,70.074,1777,,8391,Hydriomena furcata,July Highflier,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2161,484,,-0.08,Y,1970 - 2016,0.136,Y,2000 - 2016,-0.035,N,1970 - 2016,,1,1,,1,1,,,,,,,,14,18,11.5,1,,,-6.5,Y,1,1,1,1,,,,,1,1,1,1,,,,1,1,1,?,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,,,,1,,,,Polyphagous,8,, ,1,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,1,,,1,,,,,,1,,,,1,1,1,1,1,1,1,,,,,,1,,1,,,,,,3,,,,,
1,70.078,1770,,8361,Thera cognata,Chestnut-coloured Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,102,28,Nationally Scarce,,,,,,,,,,,1,,,,1,1,,,,,,,11,14,6.1,1,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,1,,,Monophagous,1,Common Juniper Juniperus communis,Juniperus communis,1,8,5,5,3,0,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,2,,,,,
1,70.079,1769,,8358,Thera britannica,Spruce Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1742,319,,5.57,Y,1970 - 2016,0.761,Y,2000 - 2016,33.628,Y,1970 - 2016,,1,1,,1,1,,,,,,,,13,17,9.7,,1,,,,,,,,,1,1,,,1,,,1,1,1,1,1,1,1,,?,?,1,1,,,,,1,1,,,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,1,,,Polyphagous,10,, ,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,3,,,,,
1,70.081,1768,,8356,Thera obeliscata,Grey Pine Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1779,300,,0.1,N,1970 - 2016,-0.086,N,2000 - 2016,-0.472,Y,1970 - 2016,,1,1,,1,,,,,,,,,13,17,9.7,,1,,,,,,,,,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,1,,,,,,,,1,1,1,1,1,1,1,1,,,1,,,Polyphagous,8,, ,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,3,,,,,
1,70.087,1752,,8319,Cosmorhoe ocellata,Purple Bar,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1824,234,,-0.13,N,1970 - 2016,-0.19,Y,2000 - 2016,-0.369,N,1970 - 2016,,1,1,,,,,,,,,,,13,15,8.1,1,1,,,,,,,,,,1,,1,,,,1,1,1,1,,1,1,1,1,1,1,1,,,,,1,1,,,1,,,,,,,,,,1,1,1,1,1,,,,,1c,,,Oligophagous (Genus),4,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,1,1,,1,,,,,1,,,,3,,,,,
1,70.091,1756,,8332,Eulithis populata,Northern Spinach,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1075,151,,-0.45,Y,1970 - 2016,-0.076,N,2000 - 2016,-0.225,Y,1970 - 2016,,1,1,,,1,1,,,,,,,13,18,10.6,1,,,-11.8,Y,1,1,1,,,,,1,1,1,1,1,,,,1,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,,,,1,,,,Polyphagous,4,, ,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,1,,,,,,1,1,,,,,,,2,,,,,
1,70.093,1758,,8335,Gandaritis pyraliata,Barred Straw,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1987,204,,0.24,Y,1970 - 2016,0.116,N,2000 - 2016,-0.385,Y,1970 - 2016,,1,1,,,1,,,,,,,,15,18,12.4,1,,,-9.8,Y,1,1,1,1,,,,,1,1,1,1,,,,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,1,,,,Oligophagous (Family),5,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,,,3,,,,,
1,70.097,1764,,8348,Dysstroma truncata,Common Marbled Carpet / Arran Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2188,506,,0.2,Y,1970 - 2016,-0.05,N,2000 - 2016,0.345,N,1970 - 2016,,1,1,,,,1,,,,,,,14,19,12.4,1,1,,,,,,,,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,,,1,,,Polyphagous,20,, ,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1,,1,,1,1,1,,,,,,1,,,1,1,,1,,,1,,,,,,1,,1,,,,,,3,,,,,
1,70.098,1762,,8343,Dysstroma citrata,Dark Marbled Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1428,260,,-0.26,Y,1970 - 2016,0.151,N,2000 - 2016,0.279,N,1970 - 2016,,1,1,,,1,,,,,,,,14,19,12.4,1,,,-5.5,Y,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,1,,,1,,,,Polyphagous,6,, ,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,1,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,3,,,1,,
1,70.1,1776,,8385,Colostygia pectinataria,Green Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2247,406,,0.68,Y,1970 - 2016,0.172,Y,2000 - 2016,4.044,Y,1970 - 2016,,1,1,,1,,,,,,,,,12,15,7.4,1,1,,,,,,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,,,Polyphagous,7,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,1,1,,1,,,,,1,,,,3,,,,,
1,70.115,1873,,8652,Venusia cambrica,Welsh Wave,Geometridae,1,1,1,1,1,,,1,,,LC,LC,523,74,,-0.35,Y,1970 - 2016,-0.23,N,2000 - 2016,-0.482,N,1970 - 2016,,1,,,,1,,,,,,,,13,15,8.1,1,,,-8.6,Y,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,1,1,1,1,1,1,,,,1,1,1,,,,,,1,1,1,1,,,,,,,1,,Polyphagous,3,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,2,,,1,,
1,70.151,1817,,8484,Eupithecia pulchellata,Foxglove Pug,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1716,174,,0.73,Y,1970 - 2016,-0.003,N,2000 - 2016,-0.277,N,1970 - 2016,,1,1,,1,,,,,,,,,10,12,4.4,1,,,-8,Y,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,1,,,,,,,1,,Monophagous,1,Foxglove Digitalis purpurea,Digitalis purpurea,1,6,6,4,5,0,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,1,1,,,,,,,,,1,,3,,,,,
1,70.158,1854,,8583,Eupithecia pusillata,Juniper Pug,Geometridae,1,1,1,1,1,,,1,,,VU,LC,594,22,,0.09,N,1970 - 2016,-0.269,N,2000 - 2016,-0.844,Y,1986 - 2016,1,1,,,,,1,,,,,,,9,11,3.4,1,,,-1.7,Y,1,1,1,,,,,,,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,1,,,,Oligophagous (Family),4,, ,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,3,,,,,
1,70.168,1846,,8570,Eupithecia nanata,Narrow-winged Pug,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1308,227,,0.33,Y,1970 - 2016,-0.253,N,2000 - 2016,-0.621,Y,1970 - 2016,,1,1,,1,,,,,,,,,9,12,3.9,1,1,,,,,,,,,1,,1,,,,,,,,,,,1,1,1,?,,,,1,1,1,,,,1,1,,,1,1,,,,,1,1,1,1,1,1,,,,,,1,,Monophagous,1,Heather Calluna vulgaris,Calluna vulgaris,1,7,6,2,2,0,,,,,,,3,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,3,,,,,
1,70.179,1830,,8527,Eupithecia absinthiata,Wormwood Pug / Ling Pug,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1549,204,,0.72,Y,1970 - 2016,0.019,N,2000 - 2016,-0.381,N,1986 - 2016,,1,,,1,,,,,,,,,11,13,5.5,1,,,3.2,Y,,,,,,,1,,,,,,,,,,,,1,1,1,1,,,,1,1,1,1,1,,,,,,1,1,,,,,,1,1,1,1,,,,,,,1,,Polyphagous,16,, ,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,1,1,,,1,1,,1,,,1,,,,,,,,,3,,,,,
1,70.192,1867,,8620,Aplocera plagiata,Treble-bar,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1087,119,,-0.48,Y,1970 - 2016,-0.124,N,2000 - 2016,-0.567,N,1970 - 2016,,1,1,,1,,,,,,,,,19,22,21.6,1,1,,,,,,,,,1,,1,1,,,,1,1,1,1,,1,1,1,1,1,1,1,,,,,1,1,1,,1,,,,,,,,,,1,1,1,1,1,1,,,,,1,,Oligophagous (Genus),1,St John’s-worts Hypericum spp.,Hypericum spp.,1,7,6,5,3,0,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,1,1,,1,,,,,,,,,,,,,,
